Data/Hora,Cotação,Mínima,Máxima,Variação,Variação (%),Volume
29/12/2016,"10,85","10,52","10,93","0,03","0,28",3.189.900
28/12/2016,"10,82","10,71","11,06","0,09","0,84",3.868.700
27/12/2016,"10,73","10,27","10,75","0,57","5,61",3.986.800
26/12/2016,"10,16","9,95","10,25","0,21","2,11",1.091.500
23/12/2016,"9,95","9,63","9,95","0,35","3,65",3.518.900
22/12/2016,"9,6","9,41","9,82","-0,23","-2,34",3.419.600
21/12/2016,"9,83","9,69","10,05","-0,05","-0,51",4.178.300
20/12/2016,"9,88","9,83","10,38","-0,21","-2,08",4.643.900
19/12/2016,"10,09","10,09","10,84","-0,63","-5,88",4.970.200
16/12/2016,"10,72","10,72","11,22","-0,21","-1,92",6.860.700
15/12/2016,"10,93","10,51","11,05","0,32","3,02",4.802.300
14/12/2016,"10,61","10,52","10,94","-0,35","-3,19",7.137.500
13/12/2016,"10,96","10,66","11,27","-0,08","-0,72",4.793.500
9/12/2016,"11,3","11,15","11,81","-0,35",-3,5.361.700
8/12/2016,"11,65","11,53","12,24","-0,38","-3,16",4.680.800
7/12/2016,"12,03","12,01","12,3","0,04","0,33",4.399.000
6/12/2016,"11,99","11,5","12,15","0,15","1,27",4.533.200
5/12/2016,"11,84","11,67","12,2","-0,07","-0,59",5.136.600
2/12/2016,"11,91","10,91","12,05","0,25","2,14",8.190.000
1/12/2016,"11,66","11,35","12,59","-0,77","-6,19",9.519.300
30/11/2016,"12,43","12,28","12,97","-0,3","-2,36",7.690.400
29/11/2016,"12,73","12,57","13,25","-0,61","-4,57",5.571.500
28/11/2016,"13,34","12,82","13,42","0,45","3,49",4.191.800
25/11/2016,"12,89","12,38","12,94","0,32","2,55",4.981.500
24/11/2016,"12,57","12,41","12,91","-0,22","-1,72",3.813.800
23/11/2016,"12,79","11,92","12,8","0,8","6,67",9.359.200
22/11/2016,"11,99","11,72","12,37","0,53","4,62",7.847.100
21/11/2016,"11,46","10,9","11,46","0,6","5,52",6.928.200
18/11/2016,"10,86","10,35","10,98","0,29","2,74",5.724.600
17/11/2016,"10,57","10,39","10,82","0,07","0,67",4.639.100
16/11/2016,"10,5","10,28","10,86","-0,46","-4,2",8.248.600
14/11/2016,"10,96","9,92","11,05","0,54","5,18",11.332.200
11/11/2016,"10,42","10,27","11,49","-0,83","-7,38",8.920.900
10/11/2016,"11,25","11,03","11,66","0,41","3,78",12.942.800
9/11/2016,"10,84","9,83","11,09","0,29","2,75",11.297.100
8/11/2016,"10,55","10,06","10,64","0,24","2,33",5.799.800
7/11/2016,"10,31","9,99","10,32","0,65","6,73",4.634.100
4/11/2016,"9,66","9,43","9,99","-0,06","-0,62",5.540.700
3/11/2016,"9,72","9,67","10,19","-0,52","-5,08",7.293.400
1/11/2016,"10,24","10,05","10,92","-0,5","-4,66",7.624.100
31/10/2016,"10,74","10,6","11,07","-0,1","-0,92",7.237.800
28/10/2016,"10,84","10,77","11,12","0,02","0,18",5.083.300
27/10/2016,"10,82","10,63","10,88","0,25","2,37",4.588.000
26/10/2016,"10,57","10,36","10,72","-0,12","-1,12",7.561.900
25/10/2016,"10,69","10,2","10,85","0,27","2,59",9.326.800
24/10/2016,"10,42","10,3","10,62","0,22","2,16",8.071.700
21/10/2016,"10,2","9,96","10,4","0,01","0,1",16.145.300
20/10/2016,"10,19",10,"10,35","-0,13","-1,26",6.319.700
19/10/2016,"10,32","10,22","10,76","-0,29","-2,73",6.973.400
18/10/2016,"10,61","10,37","10,68","0,31","3,01",5.550.000
17/10/2016,"10,3","10,17","10,38","0,08","0,78",4.896.300
14/10/2016,"10,22",10,"10,29","0,34","3,44",5.103.300
13/10/2016,"9,88","9,73","10,05","-0,32","-3,14",8.133.500
11/10/2016,"10,2","10,07","10,31",0,0,6.955.400
