Data/Hora,Cotação,Mínima,Máxima,Variação,Variação (%),Volume
29/12/2016,"17,58","17,51","17,75","0,01","0,06",371
28/12/2016,"17,57","17,40","17,69","0,13","0,75",130.8
27/12/2016,"17,44","17,03","17,51","0,39","2,29",531.7
26/12/2016,"17,05","16,80","17,05","0,25","1,49",61.2
23/12/2016,"16,80","16,75","17,00","0,03","0,18",139.1
22/12/2016,"16,77","16,56","17,06","0,28","1,70",132.6
21/12/2016,"16,49","16,42","16,78","0,07","0,43",233
20/12/2016,"16,42","16,34","16,59","-0,03","-0,18",193.2
19/12/2016,"16,45","16,15","16,60","0,26","1,61",231.7
16/12/2016,"16,19","16,12","16,73","-0,21","-1,28",270.9
15/12/2016,"16,40","16,01","16,47","0,19","1,17",437.9
14/12/2016,"16,21","16,05","16,46","-0,05","-0,31",246.4
13/12/2016,"16,26","16,21","16,57","-0,19","-1,16",397.6
9/12/2016,"16,69","16,40","16,72","0,05","0,30",169.1
8/12/2016,"16,64","16,37","16,82","-0,11","-0,66",313.9
7/12/2016,"16,75","16,57","17,09","-0,15","-0,89",382.7
6/12/2016,"16,90","16,32","17,16","0,39","2,36",382.7
5/12/2016,"16,51","16,29","16,80","-0,14","-0,84",245.1
2/12/2016,"16,65","16,47","16,99","-0,21","-1,25",293.6
1/12/2016,"16,86","16,70","17,45","-0,59","-3,38",271.2
30/11/2016,"17,45","17,15","17,51","0,16","0,93",530
29/11/2016,"17,29","17,10","17,53","0,11","0,64",224.6
28/11/2016,"17,18","16,89","17,34","-0,12","-0,69",223.4
25/11/2016,"17,30","17,10","17,33","0,10","0,58",106.2
24/11/2016,"17,20","17,20","17,56","-0,10","-0,58",95.7
23/11/2016,"17,30","17,18","17,64","-0,24","-1,37",399.1
22/11/2016,"17,54","17,50","17,85","-0,04","-0,23",399.3
21/11/2016,"17,58","17,30","17,75","0,08","0,46",298.2
18/11/2016,"17,50","17,25","17,77","0,00","0,00",405
17/11/2016,"17,50","17,20","17,94","-0,15","-0,85",389.7
16/11/2016,"17,65","17,47","17,85","0,05","0,28",390.7
14/11/2016,"17,60","17,26","18,05","-0,52","-2,87",433.5
11/11/2016,"18,12","17,66","18,81","-0,59","-3,15",558.6
10/11/2016,"18,71","18,65","19,29","-0,42","-2,20",404.5
9/11/2016,"19,13","18,64","19,24","-0,31","-1,59",368.7
8/11/2016,"19,44","19,36","19,75","-0,26","-1,32",251.1
7/11/2016,"19,70","19,11","19,82","0,23","1,18",288.4
4/11/2016,"19,47","18,88","19,77","0,54","2,85",274.8
3/11/2016,"18,93","18,90","19,39","-0,46","-2,37",415.7
1/11/2016,"19,39","19,16","19,97","-0,23","-1,17",759.3
31/10/2016,"19,62","19,51","20,34","-0,79","-3,87",431.1
28/10/2016,"20,41","19,68","20,54","0,61","3,08",314.1
27/10/2016,"20,06","19,76","20,22","0,30","1,52",235.6
26/10/2016,"19,76","19,64","19,91","-0,16","-0,80",306.7
25/10/2016,"19,92","19,11","19,95","0,71","3,70",359.7
24/10/2016,"19,21","18,91","19,32","0,31","1,64",1.290.000
21/10/2016,"18,90","18,82","19,24","-0,07","-0,37",618.7
20/10/2016,"18,97","18,84","19,05","-0,07","-0,37",244.1
19/10/2016,"19,04","18,83","19,24","0,04","0,21",271.7
18/10/2016,"19,00","18,51","19,17","0,49","2,65",293.2
17/10/2016,"18,51","18,29","18,63","0,21","1,15",183.3
14/10/2016,"18,30","18,24","18,44","0,05","0,27",195.3
13/10/2016,"18,25","18,20","18,46","-0,13","-0,71",326.1
11/10/2016,"18,38","18,27","18,62","-0,20","-1,08",246.1
10/10/2016,"18,58","18,42","18,74","0,19","1,03",278.7
7/10/2016,"18,39","18,33","18,60","0,06","0,33",215.5
6/10/2016,"18,33","18,02","18,54","0,35","1,95",374.4
5/10/2016,"17,98","17,92","18,14","0,06","0,33",188.2
4/10/2016,"17,92","17,79","17,99","0,03","0,17",287.4
3/10/2016,"17,89","17,80","17,95","0,02","0,11",132.3
30/09/2016,"17,87","17,77","18,10","-0,01","-0,06",177.1
29/09/2016,"17,88","17,69","18,19","-0,07","-0,39",176.8
28/09/2016,"17,95","17,88","18,09","0,04","0,22",178.1
27/09/2016,"17,91","17,88","18,04","0,03","0,17",154
26/09/2016,"17,88","17,74","17,98","-0,02","-0,11",157.1
23/09/2016,"17,90","17,88","18,16","-0,14","-0,78",167.2
22/09/2016,"18,04","18,01","18,29","0,04","0,22",274
21/09/2016,"18,00","17,85","18,19","0,05","0,28",627.7
20/09/2016,"17,95","17,80","18,03","0,06","0,34",159
19/09/2016,"17,89","17,75","18,10","-0,02","-0,11",318.9
16/09/2016,"17,91","17,90","18,13","-0,13","-0,72",197.4
15/09/2016,"18,04","17,63","18,24","0,25","1,41",497.8
14/09/2016,"17,79","17,62","18,06","-0,05","-0,28",475.9
13/09/2016,"17,84","17,69","18,05","-0,21","-1,16",650.9
12/09/2016,"18,05","17,95","18,28","-0,23","-1,26",336.1
09/09/2016,"18,28","17,72","18,66","-0,40","-2,14",598.7
08/09/2016,"18,68","18,49","18,75","0,08","0,43",590.1
06/09/2016,"18,60","18,54","18,65","0,07","0,38",173.2
05/09/2016,"18,53","18,40","18,64","0,21","1,15",202.4
02/09/2016,"18,32","18,30","18,45","0,07","0,38",143.1
01/09/2016,"18,25","18,10","18,35","0,28","1,56",265.7
31/08/2016,"17,97","17,73","18,22","-0,18","-0,99",208.5
30/08/2016,"18,15","17,91","18,29","-0,01","-0,06",118.4
29/08/2016,"18,16","18,07","18,25","0,00","0,00",162.1
26/08/2016,"18,16","17,71","18,16","0,45","2,54",281
25/08/2016,"17,71","17,50","18,07","-0,29","-1,61",211.4
24/08/2016,"18,00","17,71","18,06","0,02","0,11",250.5
23/08/2016,"17,98","17,95","18,26","-0,01","-0,06",168.5
22/08/2016,"17,99","17,64","18,23","-0,13","-0,72",256.4
19/08/2016,"18,12","17,96","18,28","-0,16","-0,88",409.7
18/08/2016,"18,28","18,20","18,49","-0,12","-0,65",192.2
17/08/2016,"18,40","18,18","18,49","0,11","0,60",263
16/08/2016,"18,29","18,21","18,47","-0,02","-0,11",392.2
15/08/2016,"18,31","18,10","18,43","0,17","0,94",200
12/08/2016,"18,14","18,04","18,25","-0,06","-0,33",216.4
