Data/Hora,Cotação,Mínima,Máxima,Variação,Variação (%),Volume
29/12/2016,"8,98","8,98","9,17","-0,12","-1,32",23.900
28/12/2016,"9,1","9,07","9,24",0,0,45.000
27/12/2016,"9,1","8,91","9,29","0,29","3,29",34.300
26/12/2016,"8,81","8,81","8,94","0,01","0,11",4.400
23/12/2016,"8,8","8,8","9,1","0,03","0,34",24.600
22/12/2016,"8,77","8,77","8,89","0,01","0,11",11.800
21/12/2016,"8,76","8,76","8,85","-0,06","-0,68",4.300
20/12/2016,"8,82","8,75","9,06","-0,07","-0,79",44.700
19/12/2016,"8,89","8,81","8,95","0,13","1,48",3.900
16/12/2016,"8,76","8,76","8,95","-0,02","-0,23",144.900
15/12/2016,"8,78","8,75","8,83","-0,02","-0,23",122.000
14/12/2016,"8,8","8,8","8,97","-0,05","-0,56",293.300
13/12/2016,"8,85","8,81","9,04","-0,24","-2,64",223.300
9/12/2016,"9,15","8,98","9,27","0,22","2,46",43.000
8/12/2016,"8,93","8,93","9,09",0,0,28.500
7/12/2016,"8,93","8,93","9,15","-0,07","-0,78",70.100
6/12/2016,9,9,"9,09",0,0,42.300
5/12/2016,9,9,"9,2","-0,01","-0,11",60.300
2/12/2016,"9,01",9,"9,46","0,01","0,11",76.200
1/12/2016,9,9,"9,96","-0,7","-7,22",76.500
30/11/2016,"9,7","9,51","10,09","0,17","1,78",74.500
29/11/2016,"9,53","9,5","9,74","0,03","0,32",20.100
28/11/2016,"9,5","9,3","9,6","-0,05","-0,52",23.600
25/11/2016,"9,55","9,3","9,63","0,04","0,42",8.700
24/11/2016,"9,51","9,3","9,8","-0,12","-1,25",63.600
23/11/2016,"9,63","9,5","9,65","-0,06","-0,62",34.100
22/11/2016,"9,69","9,27","9,69","-0,11","-1,12",52.900
21/11/2016,"9,8","9,43","9,8","0,29","3,05",6.500
18/11/2016,"9,51","9,27","9,84","-0,19","-1,96",30.600
17/11/2016,"9,7","9,1","9,73","0,32","3,41",64.800
16/11/2016,"9,38","8,56","9,38","0,63","7,2",182.100
14/11/2016,"8,75","8,75","9,58","-0,55","-5,91",176.200
11/11/2016,"9,3","9,3","10,45","-1,2","-11,43",93.200
10/11/2016,"10,5","10,5","11,03","-0,52","-4,72",33.000
9/11/2016,"11,02","10,94","11,59","-0,65","-5,57",172.200
8/11/2016,"11,67","11,5","11,67","0,03","0,26",27.500
7/11/2016,"11,64","11,13","11,69","0,55","4,96",8.500
4/11/2016,"11,09","10,8","11,1","-0,01","-0,09",76.300
3/11/2016,"11,1","11,03","11,34","-0,11","-0,98",38.700
1/11/2016,"11,21","11,21","11,69","-0,49","-4,19",65.900
31/10/2016,"11,7","11,52","11,87","0,06","0,52",13.800
28/10/2016,"11,64","10,92","11,66","0,39","3,47",113.100
27/10/2016,"11,25","11,21","11,49","-0,05","-0,44",18.700
26/10/2016,"11,3","11,21","11,5","-0,09","-0,79",19.500
25/10/2016,"11,39","10,81","11,4","0,45","4,11",62.400
24/10/2016,"10,94","10,82","11,08","0,02","0,18",24.000
21/10/2016,"10,92","10,92","11,48","-0,13","-1,18",10.800
20/10/2016,"11,05","10,72","11,16","-0,07","-0,63",278.700
19/10/2016,"11,12","10,96","11,31","0,07","0,63",13.700
18/10/2016,"11,05","11,01","11,25","-0,19","-1,69",25.000
17/10/2016,"11,24","10,91","11,4","0,29","2,65",17.100
14/10/2016,"10,95","10,82","11,04","-0,06","-0,54",18.400
13/10/2016,"11,01","10,98","11,2","-0,19","-1,7",24.700
