Data/Hora,Cotação,Mínima,Máxima,Variação,Variação (%),Volume
29/12/2016,"20,76","20,66","21,54","-0,72","-3,35",169.6
28/12/2016,"21,48","20,89","21,58","0,43","2,04",65.5
27/12/2016,"21,05","20,86","21,07","0,31","1,49",47.5
26/12/2016,"20,74","20,40","21,10","0,34","1,67",43.9
23/12/2016,"20,40","20,40","21,20","-0,38","-1,83",105.2
22/12/2016,"20,78","20,03","20,89","0,58","2,87",84.3
21/12/2016,"20,20","19,72","20,23","0,45","2,28",68.5
20/12/2016,"19,75","19,64","20,39","-0,45","-2,23",137.3
19/12/2016,"20,20","20,20","20,50","-0,28","-1,37",59.1
16/12/2016,"20,48","20,36","20,89","0,12","0,59",147.1
15/12/2016,"20,36","20,36","21,19","-0,41","-1,97",138
14/12/2016,"20,77","20,55","21,00","-0,07","-0,34",111.9
13/12/2016,"20,84","20,44","20,89","0,20","0,97",119
9/12/2016,"20,92","20,84","21,36","-0,42","-1,97",128.9
8/12/2016,"21,34","20,67","21,49","-0,06","-0,28",165.5
7/12/2016,"21,40","20,29","21,42","0,94","4,59",327.1
6/12/2016,"20,46","19,40","20,67","0,95","4,87",120
5/12/2016,"19,51","19,45","20,24","-0,59","-2,94",118.6
2/12/2016,"20,10","19,90","20,42","0,18","0,90",128.9
1/12/2016,"19,92","19,90","20,80","-0,66","-3,21",214.3
30/11/2016,"20,58","20,47","21,08","-0,26","-1,25",249.2
29/11/2016,"20,84","20,31","21,06","-0,35","-1,65",189
28/11/2016,"21,19","20,06","21,37","0,88","4,33",224.3
25/11/2016,"20,31","20,00","20,41","-0,18","-0,88",114
24/11/2016,"20,49","20,12","20,75","0,14","0,69",113.8
23/11/2016,"20,35","19,80","20,45","0,28","1,40",386.9
22/11/2016,"20,07","19,75","21,20","-0,81","-3,88",368.6
21/11/2016,"20,88","20,10","20,99","0,76","3,78",200
18/11/2016,"20,12","19,66","20,17","0,42","2,13",194
17/11/2016,"19,70","19,40","19,92","0,00","0,00",113.6
16/11/2016,"19,70","19,39","20,02","-0,21","-1,05",165.9
14/11/2016,"19,91","19,30","20,03","0,41","2,10",226.2
11/11/2016,"19,50","19,32","20,04","-0,35","-1,76",325.9
10/11/2016,"19,85","19,09","21,05","-0,73","-3,55",377.1
9/11/2016,"20,58","20,03","21,06","0,12","0,59",159.6
8/11/2016,"20,46","20,20","21,01","-0,61","-2,90",1.007.100
7/11/2016,"21,07","20,57","21,07","0,26","1,25",225.2
4/11/2016,"20,81","20,45","21,32","-0,39","-1,84",354.2
3/11/2016,"21,20","21,00","22,09","-0,89","-4,03",321.9
1/11/2016,"22,09","21,55","22,18","-0,04","-0,18",158.6
31/10/2016,"22,13","22,00","22,24","0,08","0,36",246
28/10/2016,"22,05","22,02","22,27","-0,01","-0,05",148.1
27/10/2016,"22,06","21,60","22,47","0,21","0,96",168.6
26/10/2016,"21,85","21,20","21,85","0,35","1,63",249.2
25/10/2016,"21,50","20,93","21,90","-0,29","-1,33",402.6
24/10/2016,"21,79","21,56","22,53","-0,75","-3,33",375.6
21/10/2016,"22,54","21,76","22,54","0,49","2,22",225.2
20/10/2016,"22,05","21,75","22,08","0,10","0,46",110.4
19/10/2016,"21,95","21,92","22,39","-0,32","-1,44",271
18/10/2016,"22,27","22,20","22,65","-0,17","-0,76",593.6
17/10/2016,"22,44","21,95","22,59","-0,07","-0,31",332.4
14/10/2016,"22,51","22,07","22,58","0,56","2,55",119.3
13/10/2016,"21,95","21,79","22,39","-0,31","-1,39",356.3
11/10/2016,"22,26","22,21","22,97","-0,64","-2,79",397.9
10/10/2016,"22,90","22,88","23,35","-0,20","-0,87",137.4
7/10/2016,"23,10","22,94","23,45","0,12","0,52",341.6
