Data/Hora,Cotação,Mínima,Máxima,Variação,Variação (%),Volume
29/12/2016,"2,63","2,6","2,63","0,02","0,77",700.200
28/12/2016,"2,61","2,61","2,7","-0,02","-0,76",1.883.400
27/12/2016,"2,63","2,63","2,74","-0,03","-1,13",574.000
26/12/2016,"2,66","2,54","2,66","0,09","3,5",584.900
23/12/2016,"2,57","2,55","2,62","-0,03","-1,15",467.400
22/12/2016,"2,6","2,56","2,72","-0,1","-3,7",634.900
21/12/2016,"2,7","2,67","2,79",0,0,591.800
20/12/2016,"2,7","2,67","2,79","0,02","0,75",1.130.000
19/12/2016,"2,68","2,68","2,86","-0,21","-7,27",2.131.400
16/12/2016,"2,89","2,87","3,02","0,01","0,35",2.781.300
15/12/2016,"2,88","2,88","3,09","-0,03","-1,03",2.806.000
14/12/2016,"2,91","2,9","2,98","-0,04","-1,36",1.027.000
13/12/2016,"2,95","2,89","2,99",0,0,1.291.300
9/12/2016,"2,89","2,81","2,9","0,04","1,4",1.544.700
8/12/2016,"2,85","2,8","3,14","-0,08","-2,73",3.442.700
7/12/2016,"2,93","2,79","2,94","0,1","3,53",3.086.600
6/12/2016,"2,83","2,48","2,89","0,26","10,12",2.135.400
5/12/2016,"2,57","2,56","2,79","-0,1","-3,75",766.600
2/12/2016,"2,67","2,66","2,8","-0,09","-3,26",652.600
1/12/2016,"2,76","2,7","2,82","0,01","0,36",1.007.400
30/11/2016,"2,75","2,71","2,83","-0,04","-1,43",732.000
29/11/2016,"2,79","2,72","2,85","0,05","1,82",526.300
28/11/2016,"2,74","2,58","2,89","0,03","1,11",1.433.700
25/11/2016,"2,71","2,67","2,82","-0,07","-2,52",826.400
24/11/2016,"2,78","2,66","2,95","-0,14","-4,79",1.411.700
23/11/2016,"2,92","2,84","3,01","0,12","4,29",4.529.300
22/11/2016,"2,8","2,53","2,85","0,26","10,24",3.755.700
21/11/2016,"2,54","2,45","2,58","0,13","5,39",1.661.700
18/11/2016,"2,41","2,24","2,5","0,12","5,24",1.828.000
17/11/2016,"2,29","2,2","2,32","0,04","1,78",1.087.700
16/11/2016,"2,25","2,17","2,34","0,02","0,9",4.042.900
14/11/2016,"2,23","2,17","2,62","-0,07","-3,04",6.834.500
11/11/2016,"2,3","2,24","2,72","-0,27","-10,51",2.511.000
10/11/2016,"2,57","2,54","2,91","-0,24","-8,54",3.901.000
9/11/2016,"2,81","2,76","3,1","-0,26","-8,47",2.494.700
8/11/2016,"3,07","3,02","3,44","-0,28","-8,36",1.526.100
7/11/2016,"3,35","3,35","3,45",0,0,1.052.300
4/11/2016,"3,35","3,35","3,41","-0,02","-0,59",497.900
3/11/2016,"3,37","3,37","3,62","-0,17","-4,8",842.700
1/11/2016,"3,54","3,31","3,56","0,23","6,95",1.463.300
31/10/2016,"3,31","3,31","3,41","-0,06","-1,78",444.200
28/10/2016,"3,37","3,35","3,42","-0,03","-0,88",499.300
27/10/2016,"3,4","3,35","3,43","-0,04","-1,16",390.500
26/10/2016,"3,44","3,32","3,49","-0,01","-0,29",666.300
25/10/2016,"3,45","3,45","3,51","-0,06","-1,71",442.500
24/10/2016,"3,51","3,45","3,63","0,04","1,15",2.110.600
21/10/2016,"3,47","3,4","3,51","0,05","1,46",1.033.600
20/10/2016,"3,42","3,39","3,47","-0,06","-1,72",862.700
