Data/Hora,Cotação,Mínima,Máxima,Variação,Variação (%),Volume
29/12/2016,"28,79","27,73","28,85","0,73","2,60",1.106.500
28/12/2016,"28,06","27,31","28,19","0,50","1,81",539.1
27/12/2016,"27,56","27,12","28,25","-0,41","-1,47",702.7
26/12/2016,"27,97","27,12","27,97","0,54","1,97",190.2
23/12/2016,"27,43","26,86","27,70","0,08","0,29",849.6
22/12/2016,"27,35","26,26","27,35","0,75","2,82",908.9
21/12/2016,"26,60","26,40","27,12","0,02","0,08",1.268.000
20/12/2016,"26,58","26,21","27,33","-0,33","-1,23",1.039.700
19/12/2016,"26,91","26,91","27,84","-0,93","-3,34",1.541.700
16/12/2016,"27,84","27,47","28,47","0,18","0,65",2.134.400
15/12/2016,"27,66","27,16","27,76","-0,04","-0,14",1.584.700
14/12/2016,"27,70","27,69","28,43","-0,61","-2,15",1.649.000
13/12/2016,"28,31","27,23","28,31","0,62","2,24",1.103.500
9/12/2016,"27,70","27,25","28,23","0,02","0,07",1.490.000
8/12/2016,"27,68","27,43","28,51","-0,19","-0,68",1.585.100
7/12/2016,"27,87","27,77","28,66","-0,42","-1,48",2.623.800
6/12/2016,"28,29","27,88","28,70","-0,13","-0,46",1.234.000
5/12/2016,"28,42","27,71","28,99","-0,36","-1,25",1.307.800
2/12/2016,"28,78","27,34","29,15","0,58","2,06",2.220.700
1/12/2016,"28,20","28,08","29,29","-1,76","-5,87",2.201.000
30/11/2016,"29,96","29,75","30,61","0,36","1,22",2.341.300
29/11/2016,"29,60","29,60","30,66","-0,90","-2,95",1.427.900
28/11/2016,"30,50","29,38","30,58","0,86","2,90",916.8
25/11/2016,"29,64","28,61","29,74","-0,07","-0,24",674
24/11/2016,"29,71","29,47","29,86","0,03","0,10",302.9
23/11/2016,"29,68","29,24","29,99","-0,35","-1,17",782.5
22/11/2016,"30,03","29,03","30,20","0,50","1,69",4.095.800
21/11/2016,"29,53","28,41","29,74","1,11","3,91",1.841.900
18/11/2016,"28,42","27,76","28,60","-0,03","-0,11",1.974.500
17/11/2016,"28,45","28,33","29,46","-0,79","-2,70",1.915.600
16/11/2016,"29,24","27,46","29,24","1,74","6,33",6.142.300
14/11/2016,"27,50","26,27","28,16","0,39","1,44",3.821.900
11/11/2016,"27,11","26,69","29,79","-3,14","-10,38",7.751.200
10/11/2016,"30,25","29,71","32,82","-2,18","-6,72",3.775.900
9/11/2016,"32,43","31,70","32,68","-0,82","-2,47",1.792.900
