Data/Hora,Cotação,Mínima,Máxima,Variação,Variação (%),Volume
29/12/2016,"68,45","66,6","69,3","1,21","1,8",967.100
28/12/2016,"67,24","65,55","67,39","0,88","1,33",847.400
27/12/2016,"66,36","65,54","66,45","0,36","0,55",565.000
26/12/2016,66,"65,36","66,49","0,1","0,15",280.100
23/12/2016,"65,9","65,32","66,33","-0,08","-0,12",746.200
22/12/2016,"65,98","64,9","66,49","0,56","0,86",1.020.800
21/12/2016,"65,42","64,88","66,5","-0,39","-0,59",1.416.900
20/12/2016,"65,81","64,53","65,88","0,31","0,47",1.014.600
19/12/2016,"65,5","65,33","66,35","-0,8","-1,21",918.100
16/12/2016,"66,3","65,32","66,98","1,11","1,7",1.264.600
15/12/2016,"65,19","63,7","65,52","-0,42","-0,64",1.290.900
14/12/2016,"65,61","65,43","66,86","-1,13","-1,69",1.494.400
13/12/2016,"66,74","64,2",67,"1,43","2,19",1.464.200
9/12/2016,"65,8","64,86","66,38","-0,2","-0,3",2.856.400
8/12/2016,66,"65,8","67,77","-1,31","-1,95",1.673.500
7/12/2016,"67,31","67,21","68,47","-0,59","-0,87",1.142.300
6/12/2016,"67,9","66,32","68,07","0,25","0,37",1.292.900
5/12/2016,"67,65","67,48",69,"-0,65","-0,95",1.257.200
2/12/2016,"68,3","65,75","68,6","0,2","0,29",1.469.700
1/12/2016,"68,1","66,8","69,37",-1,"-1,45",2.101.500
30/11/2016,"69,1","68,5","70,01","-0,45","-0,65",1.584.200
29/11/2016,"69,55",69,"70,59","-1,35","-1,9",2.684.000
28/11/2016,"70,9","70,01","71,35","-0,25","-0,35",764.300
25/11/2016,"71,15","69,17","71,34","1,15","1,64",1.065.100
24/11/2016,70,"68,58","70,83","0,17","0,24",619.900
23/11/2016,"69,83","68,36","70,4","-0,41","-0,58",819.500
22/11/2016,"70,24","69,17",71,"1,14","1,65",1.379.100
21/11/2016,"69,1","69,07","70,65","-0,11","-0,16",1.866.500
18/11/2016,"69,21","67,63","69,9","1,21","1,78",1.699.700
17/11/2016,68,"66,15","69,4","-0,46","-0,67",2.089.300
16/11/2016,"68,46","65,82","68,74","2,84","4,33",2.253.500
14/11/2016,"65,62","64,22","66,12","0,22","0,34",2.117.000
11/11/2016,"65,4","63,64",68,-1,"-1,51",2.737.300
10/11/2016,"66,4","65,62","68,51","-1,65","-2,42",2.054.800
9/11/2016,"68,05","67,46","69,25","-2,05","-2,92",1.987.100
8/11/2016,"70,1","69,65","70,47","0,1","0,14",727.800
7/11/2016,70,"69,8","70,29","0,6","0,86",1.201.500
4/11/2016,"69,4","69,32","70,32","-0,6","-0,86",1.249.300
3/11/2016,70,"69,59","70,4","-0,36","-0,51",1.199.600
