Data/Hora,Cotação,Mínima,Máxima,Variação,Variação (%),Volume
29/12/2016,"23,17","22,78","23,33","-0,07","-0,3",1.764.100
28/12/2016,"23,24","22,4","23,3","0,64","2,83",2.253.600
27/12/2016,"22,6","21,7","22,6","0,8","3,67",3.137.600
26/12/2016,"21,8","21,52","21,91","0,29","1,35",562.000
23/12/2016,"21,51","21,35",22,"0,16","0,75",1.698.000
22/12/2016,"21,35","21,11","21,69","-0,21","-0,97",2.040.800
21/12/2016,"21,56","21,53","22,14","-0,32","-1,46",5.078.700
20/12/2016,"21,88","21,82","22,82","-0,68","-3,01",3.605.300
19/12/2016,"22,56","22,45","22,98","-0,1","-0,44",2.244.300
16/12/2016,"22,66","22,44","22,92","0,21","0,94",2.941.000
15/12/2016,"22,52","22,14","22,73","-0,18","-0,79",2.880.400
14/12/2016,"22,7","22,58","22,94","-0,1","-0,44",3.651.500
13/12/2016,"22,8","22,01","22,86","0,57","2,56",4.028.200
9/12/2016,"22,54",22,"22,76","0,19","0,85",3.213.700
8/12/2016,"22,35","22,07","22,6","0,03","0,13",2.752.400
7/12/2016,"22,32","21,74","22,5","0,55","2,53",3.651.600
6/12/2016,"21,77","21,18","22,21","0,08","0,37",4.711.200
5/12/2016,"21,69","21,33",22,"-0,11","-0,5",2.748.200
2/12/2016,"21,8","21,04","21,98","0,12","0,55",3.432.400
1/12/2016,"21,68","21,37","22,4","-0,8","-3,56",7.799.200
30/11/2016,"22,48","22,15","23,2","0,06","0,27",2.595.300
29/11/2016,"22,42","22,42","23,46","-1,01","-4,31",2.901.900
28/11/2016,"23,43","22,42","23,43","0,68","2,99",2.716.300
25/11/2016,"22,75","22,37","22,83","-0,1","-0,44",1.562.200
24/11/2016,"22,85","22,53","22,98","0,4","1,78",2.007.000
23/11/2016,"22,45","22,37","22,93","-0,48","-2,09",2.837.300
22/11/2016,"22,93","22,93","23,62",0,0,2.271.700
21/11/2016,"22,93","22,36","23,07","0,13","0,57",2.555.600
18/11/2016,"22,8","22,58","23,17","-0,04","-0,18",2.450.100
17/11/2016,"22,84","22,76","23,54","-0,66","-2,81",7.312.900
16/11/2016,"23,5","22,92","23,72","0,27","1,16",2.760.300
14/11/2016,"23,23","22,28","23,67","0,45","1,98",4.338.800
11/11/2016,"22,78","22,5","23,74","-0,52","-2,23",7.176.200
10/11/2016,"23,3","23,06","24,5","-1,2","-4,9",5.142.100
9/11/2016,"24,5","24,02","24,8","-0,39","-1,57",2.022.400
8/11/2016,"24,89","24,64","25,33","-0,2","-0,8",1.968.100
7/11/2016,"25,09","24,38","25,39","0,8","3,29",3.055.100
4/11/2016,"24,29","24,17","25,27","-0,73","-2,92",7.162.800
3/11/2016,"25,02","25,02","26,32","-1,18","-4,5",4.539.400
1/11/2016,"26,2","26,07",27,"-0,8","-2,96",2.341.600
31/10/2016,27,"26,4","27,07","0,5","1,89",2.856.600
28/10/2016,"26,5","26,15","26,73","0,1","0,38",1.507.000
27/10/2016,"26,4","26,3","27,04","-0,35","-1,31",3.184.200
26/10/2016,"26,75","26,34","27,2","-0,16","-0,59",4.606.800
25/10/2016,"26,91","26,15","27,29","0,01","0,04",5.777.400
24/10/2016,"26,9","26,7","27,2",0,0,1.594.700
21/10/2016,"26,9","26,61","27,25","-0,1","-0,37",2.175.900
20/10/2016,27,"26,44","27,25","0,04","0,15",2.143.000
19/10/2016,"26,96","26,52","27,15","-0,05","-0,19",2.037.700
18/10/2016,"27,01","26,39","27,5","0,41","1,54",5.413.300
17/10/2016,"26,6","26,24","26,87","0,3","1,14",3.125.300
14/10/2016,"26,3","25,8","26,55","0,32","1,23",4.367.000
13/10/2016,"25,98","25,2","25,98","0,48","1,88",8.051.400
11/10/2016,"25,5","25,3","25,86","-0,3","-1,16",3.924.600
10/10/2016,"25,8","25,4","25,8","0,2","0,78",3.130.200
7/10/2016,"25,6","24,99","25,6","0,6","2,4",4.117.400
6/10/2016,25,"24,5","25,05","0,06","0,24",2.218.300
5/10/2016,"24,94","24,32","25,03","0,68","2,8",3.119.200
4/10/2016,"24,26","23,67","25,3","-0,71","-2,84",6.870.700
3/10/2016,"24,97","24,43","25,2","0,5","2,04",3.763.300
30/09/2016,"24,47","24,47","25,16","-0,22","-0,89",3.984.100
29/09/2016,"24,69","24,69","25,61","-0,81","-3,18",2.100.100
28/09/2016,"25,5","24,86","25,8","0,21","0,83",1.820.600
27/09/2016,"25,29","24,77","25,29","0,43","1,73",2.067.700
26/09/2016,"24,92","24,7","25,24","-0,3","-1,19",1.021.500
23/09/2016,"25,22","24,97","25,7",0,0,1.847.400
22/09/2016,"25,22","25,08","25,44","0,36","1,45",4.514.800
21/09/2016,"24,86","24,36","25,08","-0,26","-1,04",4.479.900
20/09/2016,"25,12","24,68","25,12","0,34","1,37",1.054.500
19/09/2016,"24,78","24,62","25,18","0,16","0,65",1.741.300
16/09/2016,"24,62","24,03","24,85","-0,23","-0,93",2.835.300
15/09/2016,"24,85","24,47","24,99","0,16","0,65",1.364.500
14/09/2016,"24,69","24,3","24,83","0,08","0,33",1.542.900
13/09/2016,"24,61","24,12","25,12","-0,59","-2,34",2.093.400
12/09/2016,"25,2","24,64","25,2","0,2","0,8",1.800.300
09/09/2016,25,25,"25,61","-0,9","-3,47",2.599.400
08/09/2016,"25,9","25,66","26,49","-0,3","-1,15",3.823.600
06/09/2016,"26,2","25,62","26,31","0,46","1,79",2.042.800
05/09/2016,"25,74","25,49",26,"-0,13","-0,5",758.200
02/09/2016,"25,87","25,07","25,87","0,73","2,9",1.994.400
01/09/2016,"25,14",25,"25,61","-0,49","-1,91",3.694.200
31/08/2016,"25,63","24,9","25,73","0,13","0,51",4.146.500
30/08/2016,"25,5","25,23","25,82","-0,19","-0,74",6.019.400
29/08/2016,"25,69","24,87","25,9","0,39","1,54",1.442.500
26/08/2016,"25,3","24,67","25,76","-0,35","-1,36",2.367.700
25/08/2016,"25,65","24,95","25,92","0,8","3,22",2.699.400
24/08/2016,"24,85","24,47","25,15","0,3","1,22",3.540.600
23/08/2016,"24,55","24,55","25,74","-1,05","-4,1",5.478.700
22/08/2016,"25,6","25,36","26,13","-0,06","-0,23",2.033.700
19/08/2016,"25,66","25,48","26,03","-0,11","-0,43",2.067.100
18/08/2016,"25,77","25,7","26,57","-0,63","-2,39",2.697.900
17/08/2016,"26,4","25,6","26,88","-0,38","-1,42",6.395.600
16/08/2016,"26,78","26,61","27,15","-0,32","-1,18",2.147.800
